rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
1,CNP0329555.0,C1=COC(CNC2=NC=NC3=C2C=NN3)=C1,0.7799546718597412,215.22,1.56,2,5,3,79.63,True,True,3
2,CNP0394609.1,CC(C)C[C@H](NC(=O)[C@@H]1CC2=C(NC3=CC=CC=C23)C2C3=CC=CC=C3C(=O)N21)C(=O)NCC1CCCO1,0.779423713684082,514.63,3.46,3,4,7,103.53,True,True,3
3,CNP0568750.0,CC=C(NC(=O)C(=CC)NC(=O)C(NC(=O)CNC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(C)N)C(C)CC)C(=O)NC(C(=O)NC(C(=O)NC(=CC)C(=O)NC(C(=O)NC1CSSCC(C(=O)O)NC(=O)C2CSCC3(CC(NC1=O)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N3)C(=O)NC(C(C)C)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCCN)C(=O)N2)C(C)CC)C(C)CC)C(C)CC,0.768113911151886,2153.63,-3.11,26,29,45,757.97,False,False,1
4,CNP0164064.1,CC[C@H](C)/C=C(C)/C=C/C(=O)CC1=C(C2=CC(O)=C(O)C=C2C2=C(O)/C(=C/C3=CC=C(O)C(O)=C3)OC2=O)[C@](O)(C(C)=O)[C@@H](O)C1=O,0.755151629447937,646.65,3.9,7,12,10,219.12,False,False,2
5,CNP0164064.2,CC[C@@H](C)/C=C(C)/C=C/C(=O)CC1=C(C2=CC(O)=C(O)C=C2C2=C(O)/C(=C/C3=CC=C(O)C(O)=C3)OC2=O)[C@@](O)(C(C)=O)[C@@H](O)C1=O,0.755151629447937,646.65,3.9,7,12,10,219.12,False,False,2
6,CNP0605953.0,BrC1=NC2=C(NCC3=CC=CO3)N=CN=C2N1.Cl,0.7513450980186462,330.57,2.74,2,5,3,79.63,True,True,3
7,CNP0436066.1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](C)OC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O,0.7480973601341248,993.21,1.93,10,12,19,299.56,False,False,2
8,CNP0598730.0,CC=C(NC(=O)C(=CC)NC(=O)C(NC(=O)CNC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(C)N)C(C)CC)C(=O)NC(C(=O)NC(C(=O)NC(=CC)C(=O)NC(C(=O)NC1CSSCC(C(=O)O)NC(=O)C2CSCC3(CC(NC1=O)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N3)C(=O)NC(C(C)C)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCCN)C(=O)N2)C(C)CC)C(C)CC)C(C)CC,0.7453188300132751,2082.55,-2.62,25,28,43,728.87,False,False,1
9,CNP0277386.2,CC[C@@H](C)/C=C(C)/C=C/C(=O)CC1=C(C2=CC(O)=C(O)C=C2C2=C(O)/C(=C/C3=CC=C(O)C=C3)OC2=O)[C@](O)(C(C)=O)[C@H](O)C1=O,0.740572452545166,630.65,4.2,6,11,10,198.89,False,False,2
10,CNP0277386.1,CC[C@H](C)/C=C(C)/C=C/C(=O)CC1=C(C2=CC(O)=C(O)C=C2C2=C(O)/C(=C/C3=CC=C(O)C=C3)OC2=O)[C@](O)(C(C)=O)[C@@H](O)C1=O,0.740572452545166,630.65,4.2,6,11,10,198.89,False,False,2
